Avance|FechaAvance|Partido|TotalVotos|PerValidos|PerEmitidos
42.030|06/06/2021 23:13 h|FUERZA POPULAR|4,130,785|52.905|49.581
42.030|06/06/2021 23:13 h|PARTIDO POLITICO NACIONAL PERU LIBRE|3,677,130|47.095|44.136
42.030|06/06/2021 23:13 h|TOTAL DE VOTOS EMITIDOS|8,331,453|0|100.000
42.030|06/06/2021 23:13 h|TOTAL DE VOTOS VÁLIDOS|7,807,915|100.000|93.716
42.030|06/06/2021 23:13 h|VOTOS EN BLANCO|46,361|0|0.556
42.030|06/06/2021 23:13 h|VOTOS NULOS|477,177|0|5.727
55.615|06/06/2021 23:59 h|FUERZA POPULAR|5,429,734|52.466|49.180
55.615|06/06/2021 23:59 h|PARTIDO POLITICO NACIONAL PERU LIBRE|4,919,343|47.534|44.557
55.615|06/06/2021 23:59 h|TOTAL DE VOTOS EMITIDOS|11,040,639|0|100.000
55.615|06/06/2021 23:59 h|TOTAL DE VOTOS VÁLIDOS|10,349,077|100.000|93.736
55.615|06/06/2021 23:59 h|VOTOS EN BLANCO|62,461|0|0.566
55.615|06/06/2021 23:59 h|VOTOS NULOS|629,101|0|5.698
60.386|07/06/2021 00:18 h|FUERZA POPULAR|5,890,091|52.437|49.149
60.386|07/06/2021 00:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|5,342,573|47.563|44.581
60.386|07/06/2021 00:18 h|TOTAL DE VOTOS EMITIDOS|11,984,044|0|100.000
60.386|07/06/2021 00:18 h|TOTAL DE VOTOS VÁLIDOS|11,232,664|100.000|93.730
60.386|07/06/2021 00:18 h|VOTOS EN BLANCO|68,169|0|0.569
60.386|07/06/2021 00:18 h|VOTOS NULOS|683,211|0|5.701
67.220|07/06/2021 00:48 h|FUERZA POPULAR|6,545,132|52.475|49.181
67.220|07/06/2021 00:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|5,927,689|47.525|44.541
67.220|07/06/2021 00:48 h|TOTAL DE VOTOS EMITIDOS|13,308,277|0|100.000
67.220|07/06/2021 00:48 h|TOTAL DE VOTOS VÁLIDOS|12,472,821|100.000|93.722
67.220|07/06/2021 00:48 h|VOTOS EN BLANCO|77,098|0|0.579
67.220|07/06/2021 00:48 h|VOTOS NULOS|758,358|0|5.698
72.578|07/06/2021 01:18 h|FUERZA POPULAR|7,024,779|52.319|49.036
72.578|07/06/2021 01:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|6,402,057|47.681|44.690
72.578|07/06/2021 01:18 h|TOTAL DE VOTOS EMITIDOS|14,325,631|0|100.000
72.578|07/06/2021 01:18 h|TOTAL DE VOTOS VÁLIDOS|13,426,836|100.000|93.726
72.578|07/06/2021 01:18 h|VOTOS EN BLANCO|84,307|0|0.589
72.578|07/06/2021 01:18 h|VOTOS NULOS|814,488|0|5.686
76.507|07/06/2021 01:48 h|FUERZA POPULAR|7,333,518|51.943|48.679
76.507|07/06/2021 01:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|6,784,988|48.057|45.038
76.507|07/06/2021 01:48 h|TOTAL DE VOTOS EMITIDOS|15,065,072|0|100.000
76.507|07/06/2021 01:48 h|TOTAL DE VOTOS VÁLIDOS|14,118,506|100.000|93.717
76.507|07/06/2021 01:48 h|VOTOS EN BLANCO|89,955|0|0.597
76.507|07/06/2021 01:48 h|VOTOS NULOS|856,611|0|5.686
79.467|07/06/2021 02:18 h|FUERZA POPULAR|7,537,598|51.523|48.286
79.467|07/06/2021 02:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|7,092,087|48.477|45.432
79.467|07/06/2021 02:18 h|TOTAL DE VOTOS EMITIDOS|15,610,345|0|100.000
79.467|07/06/2021 02:18 h|TOTAL DE VOTOS VÁLIDOS|14,629,685|100.000|93.718
79.467|07/06/2021 02:18 h|VOTOS EN BLANCO|94,441|0|0.605
79.467|07/06/2021 02:18 h|VOTOS NULOS|886,219|0|5.677
81.892|07/06/2021 02:47 h|FUERZA POPULAR|7,702,032|51.205|47.985
81.892|07/06/2021 02:47 h|PARTIDO POLITICO NACIONAL PERU LIBRE|7,339,651|48.795|45.727
81.892|07/06/2021 02:47 h|TOTAL DE VOTOS EMITIDOS|16,051,072|0|100.000
81.892|07/06/2021 02:47 h|TOTAL DE VOTOS VÁLIDOS|15,041,683|100.000|93.711
81.892|07/06/2021 02:47 h|VOTOS EN BLANCO|98,316|0|0.613
81.892|07/06/2021 02:47 h|VOTOS NULOS|911,073|0|5.676
83.810|07/06/2021 03:18 h|FUERZA POPULAR|7,837,109|51.014|47.798
83.810|07/06/2021 03:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|7,525,645|48.986|45.899
83.810|07/06/2021 03:18 h|TOTAL DE VOTOS EMITIDOS|16,396,248|0|100.000
83.810|07/06/2021 03:18 h|TOTAL DE VOTOS VÁLIDOS|15,362,754|100.000|93.697
83.810|07/06/2021 03:18 h|VOTOS EN BLANCO|101,295|0|0.618
83.810|07/06/2021 03:18 h|VOTOS NULOS|932,199|0|5.685
85.157|07/06/2021 03:48 h|FUERZA POPULAR|7,913,727|50.769|47.570
85.157|07/06/2021 03:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|7,673,886|49.231|46.128
85.157|07/06/2021 03:48 h|TOTAL DE VOTOS EMITIDOS|16,636,132|0|100.000
85.157|07/06/2021 03:48 h|TOTAL DE VOTOS VÁLIDOS|15,587,613|100.000|93.697
85.157|07/06/2021 03:48 h|VOTOS EN BLANCO|103,285|0|0.621
85.157|07/06/2021 03:48 h|VOTOS NULOS|945,234|0|5.682
86.345|07/06/2021 04:18 h|FUERZA POPULAR|7,980,723|50.586|47.397
86.345|07/06/2021 04:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|7,795,813|49.414|46.298
86.345|07/06/2021 04:18 h|TOTAL DE VOTOS EMITIDOS|16,838,188|0|100.000
86.345|07/06/2021 04:18 h|TOTAL DE VOTOS VÁLIDOS|15,776,536|100.000|93.695
86.345|07/06/2021 04:18 h|VOTOS EN BLANCO|105,323|0|0.626
86.345|07/06/2021 04:18 h|VOTOS NULOS|956,329|0|5.680
87.528|07/06/2021 04:48 h|FUERZA POPULAR|8,071,981|50.506|47.323
87.528|07/06/2021 04:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|7,910,102|49.494|46.374
87.528|07/06/2021 04:48 h|TOTAL DE VOTOS EMITIDOS|17,057,043|0|100.000
